Time,Person In,Person Out
2022/09/02 13:01:21,,1
2022/09/02 13:01:56,1,
2022/09/02 13:02:00,1,
2022/09/02 13:03:33,,1
2022/09/02 13:03:45,,1
2022/09/02 13:03:46,,1
2022/09/02 13:03:57,1,
2022/09/02 13:04:41,,1
2022/09/02 13:05:00,,1
2022/09/02 13:05:31,,1
2022/09/02 13:05:32,,1
2022/09/02 13:05:33,,1
2022/09/02 13:05:35,1,
2022/09/02 13:05:56,,1
2022/09/02 13:06:09,1,
2022/09/02 13:06:42,,1
2022/09/02 13:06:48,1,
2022/09/02 13:07:13,,1
2022/09/02 13:07:14,1,
2022/09/02 13:07:15,1,
2022/09/02 13:07:17,1,
2022/09/02 13:07:17,1,
2022/09/02 13:07:54,,1
2022/09/02 13:07:55,,1
2022/09/02 13:08:31,1,
2022/09/02 13:08:34,,1
2022/09/02 13:08:35,,1
2022/09/02 13:08:58,,1
2022/09/02 13:09:01,,1
2022/09/02 13:09:01,,1
2022/09/02 13:09:06,,1
2022/09/02 13:09:07,,1
2022/09/02 13:09:33,1,
2022/09/02 13:09:33,,1
2022/09/02 13:10:03,1,
2022/09/02 13:10:04,1,
2022/09/02 13:11:14,,1
2022/09/02 13:11:39,,1
2022/09/02 13:11:40,,1
2022/09/02 13:12:08,,1
2022/09/02 13:12:09,,1
2022/09/02 13:12:15,1,
2022/09/02 13:12:16,1,
2022/09/02 13:12:31,1,
2022/09/02 13:12:57,,1
2022/09/02 13:13:19,,1
2022/09/02 13:13:42,1,
2022/09/02 13:14:09,1,
2022/09/02 13:15:28,1,
2022/09/02 13:15:29,1,
2022/09/02 13:16:19,1,
2022/09/02 13:16:22,,1
2022/09/02 13:16:23,,1
2022/09/02 13:17:40,,1
2022/09/02 13:18:50,,1
2022/09/02 13:19:46,1,
2022/09/02 13:19:47,,1
2022/09/02 13:19:47,1,
2022/09/02 13:19:49,,1
2022/09/02 13:19:49,,1
2022/09/02 13:19:58,,1
2022/09/02 13:20:01,1,
2022/09/02 13:21:01,1,
2022/09/02 13:21:08,,1
2022/09/02 13:21:13,,1
2022/09/02 13:21:14,,1
2022/09/02 13:21:36,1,
2022/09/02 13:21:39,1,
2022/09/02 13:23:34,,1
2022/09/02 13:23:34,,1
2022/09/02 13:24:22,,1
2022/09/02 13:24:24,,1
2022/09/02 13:25:43,,1
2022/09/02 13:25:44,,1
2022/09/02 13:25:46,,1
2022/09/02 13:25:46,,1
2022/09/02 13:25:55,1,
2022/09/02 13:26:11,1,
2022/09/02 13:26:12,1,
2022/09/02 13:26:44,,1
2022/09/02 13:26:45,,1
2022/09/02 13:26:45,,1
2022/09/02 13:27:29,,1
